Country of Citizenship,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,--,0,0,0,0,0,--,0,--,--,--,--,--,--,--,--,--,5,--,--,--
Aland Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0
Albania,--,--,--,--,5,10,5,25,55,50,35,30,25,60,60,40,35,35,35,70,110
Algeria,10,10,15,10,10,25,20,25,40,35,30,35,30,40,35,15,15,10,30,60,100
Andorra,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0
Angola,0,0,0,0,10,15,--,--,0,0,--,--,--,--,--,0,--,--,--,--,--
Antigua and Barbuda,--,--,--,--,--,--,5,20,20,15,5,15,15,15,20,20,10,15,15,10,20
Argentina,55,90,130,155,135,120,135,145,160,120,90,70,80,80,75,55,65,80,95,110,95
Armenia,10,30,35,45,30,45,45,45,40,30,15,20,15,20,20,15,--,--,--,5,10
Australia,655,840,875,870,895,895,990,"1,245","1,240","1,060",780,650,635,710,595,415,355,340,375,335,270
Austria,55,65,65,55,50,55,90,135,185,160,105,90,110,135,120,100,60,65,85,80,60
Azerbaijan,--,--,0,0,0,--,--,0,--,--,--,--,--,5,5,5,--,--,5,10,10
"Bahama Islands, The",10,10,10,10,10,5,5,10,15,20,20,15,20,15,5,5,--,5,--,5,10
Bahrain,10,15,25,20,20,20,25,20,15,15,10,5,--,--,--,--,--,0,0,--,--
Bangladesh,15,20,20,20,25,25,30,65,90,80,70,85,100,125,135,85,55,55,50,50,80
Barbados,20,30,35,35,50,60,165,210,200,120,105,60,90,190,120,50,30,30,65,75,65
Belarus,20,30,30,20,20,15,30,40,70,65,45,25,25,35,30,15,15,20,30,30,35
Belgium,105,110,105,110,105,130,150,150,190,235,205,195,205,275,240,185,215,160,160,175,180
Belize,--,--,--,--,--,--,--,5,25,30,10,10,5,45,60,15,--,--,--,20,15
"Benin, Republic of",--,5,--,0,0,0,--,--,5,--,--,--,--,5,5,--,--,--,--,5,5
Bhutan,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--
Bolivia,--,10,10,10,10,5,10,25,20,15,15,15,15,20,25,15,10,10,10,15,20
Bosnia Herzegovina,5,--,--,5,15,15,25,85,120,120,65,40,40,105,130,65,45,35,40,40,50
Botswana,--,--,--,--,--,--,--,10,5,--,--,5,10,5,--,--,--,0,0,--,--
Brazil,105,160,175,195,195,235,290,425,670,645,515,380,365,420,375,270,340,525,825,"1,280","1,185"
Brunei,0,0,0,--,--,--,--,--,--,5,--,--,--,--,--,--,0,0,0,0,0
Bulgaria,25,30,35,40,35,35,35,50,65,50,30,25,25,45,30,30,35,25,30,40,40
Burkina-Faso,--,--,--,--,--,--,5,5,15,10,10,10,10,10,5,5,--,--,0,--,20
Burundi,--,--,0,0,--,--,--,--,5,--,--,--,5,--,0,0,0,0,0,--,--
Cambodia,--,0,--,5,--,--,10,15,20,15,10,10,10,15,10,10,--,10,5,--,20
Cameroon,5,10,10,10,10,10,10,20,20,25,30,25,30,35,40,45,45,40,50,95,140
Cape Verde Islands,0,0,0,0,0,--,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0
Central African Rep.,0,0,0,0,--,0,0,0,--,--,--,0,0,0,0,0,0,--,--,--,--
Chad,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,10,35,35,35,40,45,95,205,335,285,145,120,130,190,175,90,50,80,95,120,145
China,280,360,420,465,535,640,"1,105","2,440","2,715","2,225","1,705","1,565","1,575","1,645","1,315",865,920,"1,025","1,165","1,390","1,585"
Colombia,55,65,70,60,65,105,145,395,865,650,350,195,155,185,135,75,70,80,205,385,500
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,--,0,0,--,0,0
Dem. Rep. of the Congo,5,--,5,5,5,5,5,--,10,10,10,10,10,15,10,10,10,5,10,10,10
Congo,--,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--
Costa Rica,30,10,15,20,25,20,25,60,105,105,60,65,115,135,150,135,95,55,55,95,100
Croatia,10,10,15,30,25,35,30,110,85,85,40,65,165,595,785,565,310,200,160,150,120
Cuba,45,45,30,30,20,30,30,40,45,45,35,35,40,80,75,25,15,20,30,55,50
Cyprus,--,--,--,--,5,5,5,5,5,5,5,--,10,10,5,--,--,--,--,--,--
Czechia,120,95,100,100,85,55,50,65,110,100,80,85,145,270,270,130,115,110,110,125,115
Denmark,40,60,60,70,60,100,85,110,130,155,85,100,85,115,100,85,70,40,35,35,30
Djibouti,--,10,--,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,15,10,--
Dominica,--,--,5,5,5,--,5,--,5,--,--,--,10,5,--,0,--,0,--,10,15
Dominican Rep.,--,5,--,--,--,25,15,20,35,30,30,35,55,60,55,50,50,35,60,75,40
"East Timor, Democratic Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0
Ecuador,15,20,20,10,10,15,35,75,175,180,125,70,60,55,30,15,10,20,20,50,30
Egypt,25,35,20,40,60,80,75,85,120,120,80,70,75,90,65,40,30,60,75,80,95
El Salvador,20,5,45,45,95,360,230,190,230,240,135,80,175,185,155,115,65,55,45,60,45
Equatorial Guinea,0,0,0,0,0,0,0,--,--,0,0,0,0,--,0,0,0,0,0,0,0
Eritrea,--,--,0,--,--,--,--,--,5,--,--,--,--,5,--,5,5,0,0,0,0
Estonia,--,--,5,5,5,40,5,10,10,5,5,15,20,30,50,10,--,5,5,30,25
Ethiopia,10,10,15,20,25,20,15,20,30,40,45,30,25,20,25,15,10,10,10,10,10
Fiji,10,15,20,15,15,20,40,255,495,560,370,255,230,275,220,85,60,35,15,35,25
Finland,40,50,55,40,35,80,50,65,60,55,35,45,55,65,55,35,35,35,30,30,35
France,870,"1,105","1,085","1,040","1,095","1,235","1,510","1,925","2,305","2,430","2,400","2,650","2,915","3,215","3,185","2,485","1,935","1,420","1,450","1,740","1,915"
Gabon Republic,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--
Gambia,--,0,--,--,0,0,0,--,--,0,--,--,--,--,0,--,--,--,0,0,--
Georgia,25,30,--,5,--,--,--,5,10,10,10,10,20,20,15,10,10,5,10,10,10
Germany,485,610,635,595,645,820,"1,215","1,895","2,720","2,330","1,370","1,140","1,065","1,150",865,515,385,370,365,385,370
Ghana,15,15,15,10,10,15,10,35,90,110,75,40,55,75,80,75,40,20,15,60,80
Greece,35,30,40,35,60,40,40,55,85,90,60,60,155,280,310,170,130,170,175,165,170
Grenada,10,5,5,--,5,--,5,5,10,15,10,5,10,5,--,--,--,--,--,65,65
Guatemala,10,5,5,225,20,165,295,585,"1,115","1,240","1,470","1,510","1,990","2,480","2,740","3,155","4,285","5,600","7,390","9,445","10,395"
Guinea,--,--,--,--,--,--,0,--,--,--,--,--,5,--,--,--,--,0,--,5,5
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0
Guyana,5,20,30,30,20,20,25,60,80,80,80,55,55,60,55,30,25,25,20,25,30
Haiti,15,20,20,20,25,30,30,50,70,65,45,40,35,35,35,20,10,10,15,20,30
Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0
Honduras,10,5,--,40,0,--,--,50,225,320,135,315,425,460,415,405,365,355,395,455,500
"China, Hong Kong SAR",--,15,15,30,30,40,50,85,110,125,90,75,60,90,85,50,35,65,70,110,165
Hungary,170,135,105,95,90,70,100,100,155,190,175,215,255,365,395,270,165,150,145,135,115
Iceland,15,15,25,25,30,30,25,25,20,35,40,30,30,25,40,20,15,15,10,15,15
India,"1,315","1,295","1,500","1,950","2,715","3,550","4,240","6,220","8,320","8,270","7,320","5,710","6,475","7,875","6,190","3,325","3,280","5,680","9,935","16,190","17,655"
Indonesia,25,40,40,40,50,50,85,95,165,185,170,190,270,390,375,210,165,135,145,165,155
Iran,60,65,50,65,65,80,75,75,90,105,80,70,75,90,55,40,60,80,155,290,325
Iraq,--,--,--,5,5,5,10,10,10,10,--,5,5,5,--,0,--,--,0,--,--
Ireland,145,200,185,195,225,235,305,380,535,580,540,510,"1,240","2,080","1,540",785,480,355,295,260,235
Israel,140,195,225,290,325,340,385,590,920,935,700,645,775,"1,070",885,550,350,375,355,370,325
Italy,135,170,155,165,195,290,250,335,430,455,390,390,580,940,960,745,675,825,850,870,800
"Ivory Coast, Republic of",10,5,--,5,5,10,10,5,10,10,10,20,15,15,10,10,5,10,10,25,30
Jamaica,45,35,30,40,70,95,215,455,980,"1,035","1,050","1,175","1,365","2,220","2,450","1,485","1,330",840,"1,180","1,330","1,545"
Japan,"1,045","1,080","1,105","1,120","1,125","1,040","1,055","1,110","1,680","1,515",965,740,830,"1,100",900,480,385,615,700,920,935
Jordan,20,25,20,25,20,20,35,45,65,70,60,30,25,30,20,10,15,20,20,20,25
Kazakhstan,5,5,10,10,10,5,10,10,5,15,10,10,10,15,15,15,10,20,30,40,35
Kenya,20,20,30,45,50,55,75,105,140,145,120,95,70,80,85,70,45,40,45,50,50
"Korea, People's Democratic Republic of",0,0,0,0,0,--,0,--,5,10,10,5,10,15,10,--,--,--,--,0,--
Rep. of Korea,235,295,345,430,510,625,"1,005","1,500","2,795","2,930","2,215","2,165","2,465","3,320","2,550","1,415","1,415","2,155","2,835","3,655","3,925"
"Kosovo, Republic of",0,0,0,0,0,0,0,0,15,50,45,25,30,70,80,65,30,30,35,50,50
Kuwait,140,150,160,150,140,150,140,125,115,105,100,50,25,15,5,--,--,0,0,--,--
Kyrgyzstan,--,0,--,--,--,--,--,--,10,10,5,10,5,5,--,--,--,--,--,--,10
Laos,0,0,--,0,--,--,--,--,--,5,--,--,--,--,0,0,--,--,--,--,--
Latvia,5,--,5,10,10,15,15,20,25,30,55,85,115,130,90,40,30,30,25,25,25
Lebanon,70,75,90,90,80,95,90,225,350,305,210,145,135,160,110,40,45,65,55,65,90
Lesotho,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,0,--,0
Libya,80,110,110,120,150,190,210,205,185,145,120,80,65,70,45,30,30,25,10,10,10
Liechtenstein,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0
Lithuania,10,15,15,15,25,20,15,20,10,30,25,55,90,145,130,65,30,55,60,40,35
Luxembourg,0,--,--,--,--,5,--,--,--,--,--,--,5,5,--,--,--,--,--,--,--
"China, Macau SAR",0,0,0,--,--,--,--,--,5,5,--,0,--,--,0,--,--,--,--,--,--
Macedonia,10,15,15,10,15,5,10,15,35,40,20,20,35,50,55,30,15,15,10,15,20
Madagascar,--,--,--,--,--,--,--,--,--,--,5,5,10,10,10,5,--,--,45,75,125
Malawi,0,5,--,--,--,--,--,--,5,10,5,--,5,5,5,--,--,0,0,0,--
Malaysia,55,75,75,75,60,75,90,105,140,130,100,80,75,80,60,35,35,25,30,35,45
Maldives,--,--,0,0,0,0,--,--,15,10,5,0,0,0,0,0,0,0,0,0,0
Mali,--,--,--,--,--,0,--,--,--,--,5,5,--,5,--,0,--,--,0,--,--
Malta,--,--,--,--,--,--,--,--,--,0,0,5,--,5,--,--,--,--,0,--,0
"Marshall Islands, Republic of the",0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0
Mauritania,0,--,--,--,0,0,0,0,--,--,--,--,5,--,--,0,0,0,--,--,5
Mauritius,10,10,10,20,25,25,20,20,180,315,220,140,165,145,155,80,55,50,160,205,160
Mexico,165,160,225,215,220,320,825,"2,330","4,755","4,405","2,740","4,010","2,960","4,210","3,860","2,495","7,960","2,565","3,660","6,070","6,780"
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,--,0,0,0,0
Moldova,5,--,10,10,10,10,25,50,90,105,120,120,120,165,135,55,45,35,35,35,50
Monaco,--,--,--,--,--,0,--,--,--,0,0,0,0,--,--,0,0,0,0,0,0
Mongolia,--,0,--,--,--,--,--,5,10,10,5,5,--,5,--,--,--,--,--,5,10
Montenegro,0,0,0,0,0,0,0,0,10,--,--,--,0,--,5,5,--,--,--,--,--
Morocco,30,35,50,50,50,55,45,200,290,290,195,140,180,245,200,90,50,45,90,285,505
Mozambique,0,0,0,0,0,--,0,0,--,--,--,--,--,--,0,--,0,--,--,0,0
Myanmar,--,--,--,10,10,10,10,15,15,25,15,15,10,20,15,10,--,--,--,5,5
Namibia,5,--,--,--,--,5,5,10,5,10,10,10,5,--,--,--,--,--,0,--,--
Nepal,10,15,15,25,40,45,65,115,245,260,225,200,235,405,565,415,215,165,150,185,180
Netherlands,165,185,200,215,285,325,365,425,475,495,375,330,360,395,335,265,255,160,170,230,205
Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--
New Zealand,295,335,350,335,290,295,335,390,545,520,425,420,370,415,330,260,160,110,95,120,105
Nicaragua,--,10,5,10,10,10,30,35,65,65,30,50,55,65,85,55,70,105,175,220,230
Niger,0,--,--,0,0,--,--,0,--,0,0,--,--,--,--,0,0,0,0,--,--
Nigeria,45,60,50,70,70,85,105,150,205,210,170,150,160,150,135,110,70,45,60,100,115
Norway,130,240,155,120,85,75,100,75,115,120,70,70,95,145,190,145,135,130,45,55,40
Oman,30,45,55,75,90,100,100,80,75,70,50,25,15,10,5,--,--,0,0,0,0
Pakistan,85,105,100,160,120,120,130,220,285,265,195,190,210,335,315,170,150,125,165,200,205
Palau,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Authority (Gaza/West Bank),--,--,5,5,5,5,5,5,5,--,5,--,10,10,--,--,--,--,5,10,5
Panama,0,--,--,--,--,--,5,35,75,50,25,10,10,5,--,--,--,--,--,5,--
Papua New Guinea,0,0,0,0,--,--,--,--,0,0,0,0,--,--,--,0,0,0,0,0,0
Paraguay,--,--,--,5,5,--,5,10,15,25,20,--,10,10,15,10,10,5,5,10,10
Peru,40,55,65,90,100,125,145,190,305,305,245,205,240,230,195,120,90,80,70,110,140
Philippines,"5,270","6,835","8,240","11,385","13,610","16,515","21,345","32,455","46,850","51,020","44,390","37,020","36,535","40,615","38,660","23,695","14,790","11,905","11,905","13,275","12,220"
Poland,75,135,120,170,240,250,365,685,"1,050",755,380,375,740,"1,255","1,140",655,395,375,330,345,290
Portugal,20,35,50,60,75,120,300,665,750,600,375,385,900,"1,375","1,090",605,495,515,625,690,650
Qatar,15,20,20,20,25,20,15,15,10,5,10,--,--,0,0,0,0,0,0,0,--
Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--
Romania,240,145,335,470,405,305,440,615,995,795,435,455,465,620,500,260,175,155,215,295,290
Russia,165,200,185,170,175,210,255,280,425,365,290,240,225,285,255,190,135,150,165,255,270
Rwanda,0,--,--,0,--,--,--,--,5,10,10,5,5,--,--,--,--,--,--,15,10
Samoa,0,0,0,0,--,--,--,0,0,--,--,--,5,5,--,--,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,--
Saudi Arabia,415,470,530,580,605,620,655,695,680,700,710,280,120,65,40,20,10,10,5,10,10
Senegal,15,10,--,--,--,--,5,5,--,10,15,15,20,15,15,5,--,5,20,30,45
Serbia,0,0,0,0,0,0,--,10,145,165,125,125,145,295,315,205,120,135,190,190,255
Seychelles,--,0,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,--,--,0,0,--,--,--,--,10,5,5,--,--,--,--,0,0,0,0,0,0
Singapore,30,35,30,35,35,40,40,50,70,70,60,55,50,50,40,50,55,55,50,45,35
Slovakia,245,255,270,240,200,165,145,105,120,100,60,65,90,160,180,115,60,65,65,65,60
Slovenia,10,10,10,5,10,15,10,15,40,25,25,10,15,40,30,25,15,20,15,15,20
Solomons,0,0,0,--,--,0,--,--,0,0,0,0,0,0,0,0,0,--,25,30,15
Somalia,20,30,5,0,--,0,0,0,0,--,--,0,--,--,0,0,0,0,0,0,0
South Africa,800,910,965,980,910,965,880,810,985,935,825,685,620,600,505,355,275,250,250,320,340
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,--,--,0
Spain,50,55,50,85,105,95,135,145,220,230,215,215,390,585,590,425,295,295,315,310,245
Sri Lanka,40,55,60,75,80,80,210,420,640,580,435,385,355,450,335,150,90,80,90,145,185
St. Kitts-Nevis,0,--,0,--,--,--,--,10,15,10,10,10,10,10,10,5,--,--,--,25,35
St. Lucia,5,5,10,10,15,15,35,95,95,80,50,60,65,85,55,20,15,35,65,130,120
St. Vincent and the Grenadines,10,10,10,10,15,25,55,55,70,50,40,30,25,50,30,25,15,30,25,55,90
Stateless,10,20,5,--,5,10,10,15,25,25,20,10,10,5,5,--,--,--,--,5,5
Sudan,--,5,5,5,--,10,5,10,10,10,5,--,--,--,--,0,0,0,--,5,--
Surinam,0,0,0,--,--,--,0,0,--,0,0,0,0,--,--,0,0,--,0,--,--
Swaziland,0,--,--,--,--,0,0,0,0,--,--,--,--,5,--,0,0,0,0,0,0
Sweden,110,110,95,115,105,100,125,130,165,155,130,125,125,135,105,105,90,90,80,60,55
Switzerland,155,145,145,155,165,180,195,225,265,280,155,145,150,165,135,95,85,65,70,70,65
Syria,15,20,25,30,35,35,30,35,45,55,55,40,35,25,20,5,--,5,5,10,5
Taiwan,40,45,45,60,60,60,65,95,140,150,125,95,150,265,245,110,95,125,140,230,265
Tajikistan,0,0,0,--,--,--,--,--,--,--,5,5,--,5,5,0,0,0,0,0,--
Tanzania,10,10,20,20,25,20,20,20,20,40,25,20,15,20,15,5,5,5,10,10,10
Thailand,95,85,120,140,135,175,845,"1,030",855,985,"1,135","1,145","1,395","1,620","1,530",995,945,"1,165","1,235","1,320","1,435"
Togo,--,--,--,--,--,--,--,--,5,5,--,--,--,--,--,0,0,0,--,15,20
Tonga,--,0,0,0,0,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0,0
Trinidad and Tobago,35,40,30,50,65,80,140,140,190,190,95,85,90,140,60,50,45,75,30,40,70
Tunisia,25,25,25,15,10,15,20,25,60,65,60,100,150,165,165,110,50,60,210,690,"1,030"
Turkey,30,45,50,50,65,80,90,115,235,175,120,120,115,145,115,60,70,105,120,140,150
Turkmenistan,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0
Tuvalu,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,5,10,10,10,15,10,15,30,30,20,20,15,15,25,20,10,10,5,10,20,15
Ukraine,175,175,170,165,205,200,245,610,"1,055","1,035",675,665,750,"1,155","1,165",815,585,585,720,905,950
United Arab Emirates,30,50,80,90,100,100,85,65,55,55,45,15,10,--,--,--,0,0,0,0,0
United Kingdom,"2,125","2,610","2,545","2,575","2,630","3,160","3,545","4,375","5,775","5,635","4,160","3,750","4,030","4,930","3,860","2,450","1,595","1,215","1,245","1,250","1,010"
USA,"3,805","3,510","3,440","4,350","4,375","4,695","4,890","5,405","6,235","6,170","5,005","4,895","5,685","5,820","4,440","3,195","1,910","1,580","1,405","1,265",940
Uruguay,--,10,15,30,30,30,25,35,40,35,30,25,25,35,15,5,5,10,15,20,20
Uzbekistan,--,5,5,--,--,--,--,--,10,15,15,15,15,15,10,5,--,5,5,5,5
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0
Venezuela,40,45,40,60,80,60,100,170,280,215,115,80,95,110,85,55,40,40,45,50,45
Vietnam,25,35,30,30,30,35,60,75,230,180,120,90,140,180,155,75,75,190,415,730,"1,040"
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0
Yemen,--,5,--,--,--,--,--,5,5,--,--,--,--,--,--,--,--,0,0,--,--
Zambia,--,5,--,10,15,15,10,15,20,25,10,5,5,5,5,5,5,--,5,--,5
Zimbabwe,10,25,30,25,15,15,25,40,55,55,45,40,40,50,40,25,20,15,5,5,20
Other Countries,75,65,65,80,80,75,120,255,180,100,10,--,45,30,15,5,--,--,--,--,--
Country of Citizenship not stated,80,310,"1,290",480,300,215,215,300,655,700,370,330,465,565,465,175,30,5,--,--,0